Drug,MSE_gene
Oxaliplatin,1.8919296
Ulixertinib,1.2941573
Fulvestrant,0.73970515
Uprosertib,2.20828
Dactinomycin,1.4737276
Docetaxel,3.8938851
Camptothecin,2.782684
5-Fluorouracil,2.4712617
Afatinib,1.7369833
Taselisib,2.641075
PD0325901,1.8022008
Sapitinib,2.0450187
Alpelisib,1.8316978
SCH772984,1.8299791
LGK974,0.8387739
Luminespib,2.601535
Linsitinib,1.2362397
GSK1904529A,1.0024716
EPZ5676,0.5867865
EPZ004777,0.6437598
Irinotecan,2.4825187
PLX-4720,1.7927941
Nutlin-3a (-),1.7535923
MG-132,0.5817338
Staurosporine,1.4332993
MK-2206,1.8886112
Trametinib,2.6200738
Palbociclib,1.6037723
MK-1775,1.1117605
Cisplatin,2.2091994
Pictilisib,1.5509279
AZD7762,1.5157324
Olaparib,1.2316235
Dasatinib,3.2766325
AZD3759,0.7833026
PD173074,1.7825469
Vorinostat,0.73198956
Dabrafenib,2.032017
Paclitaxel,3.0651224
AZD4547,2.245027
Lapatinib,2.1518757
Sorafenib,1.1313764
Nilotinib,1.9318682
Tamoxifen,0.9392019
Gemcitabine,6.966257
Venetoclax,2.0761943
Bortezomib,0.90499765
Wee1 Inhibitor,1.682361
Osimertinib,1.0912184
AGI-5198,0.6058087
Ipatasertib,1.6588184
Erlotinib,1.0096073
Sepantronium bromide,1.7794244
Cediranib,1.496741
Buparlisib,0.58890224
YK-4-279,1.7515953
AZD8186,1.499256
UMI-77,1.4890807
Cytarabine,2.8979616
BPD-00008900,1.05674
MIM1,0.8872405
Dactolisib,1.977287
NVP-ADW742,1.7467725
Gefitinib,1.2278116
Telomerase Inhibitor IX,1.1199294
GDC0810,0.7821065
WEHI-539,2.48862
BDP-00009066,1.103978
Epirubicin,1.6610636
GSK2578215A,0.7472181
I-BRD9,1.1659676
P22077,1.3974296
AZD6738,1.5051217
AZD5363,1.4945426
BMS-536924,1.4271566
ABT737,2.5366135
WIKI4,0.79839545
Afuresertib,1.6082221
Savolitinib,1.2986535
Navitoclax,2.763192
Cyclophosphamide,0.6133781
MIRA-1,0.84880865
Pyridostatin,1.2067679
Temozolomide,0.9184557
Vinorelbine,2.8339512
Vinblastine,3.2680397
Pevonedistat,3.0015266
Foretinib,1.3261995
BIBR-1532,0.9234201
MK-8776,1.6674825
Talazoparib,3.1003206
AMG-319,0.8264693
AZ6102,0.95244104
VX-11e,1.4706872
LJI308,0.58734536
AT13148,1.875774
Rapamycin,1.7377764
GSK591,0.91695946
VE821,1.5288137
GNE-317,1.7963712
Crizotinib,1.8438082
Entinostat,1.8698678
Alisertib,3.4721668
Fludarabine,2.4059532
Mitoxantrone,3.5916865
Niraparib,1.35564
JAK1_8709,1.0848961
Leflunomide,0.5305349
IRAK4_4710,0.9078189
Entospletinib,1.255674
BMS-345541,1.0434436
Podophyllotoxin bromide,1.7487335
Gallibiscoquinazole,0.6322548
Sinularin,0.8356597
PCI-34051,1.1526896
Carmustine,0.7623862
Topotecan,2.7963195
AGI-6780,0.909992
VSP34_8731,1.1339241
MN-64,0.97647023
ML323,0.8030093
XAV939,0.85247225
PFI3,0.57426
Zoledronate,0.558026
CZC24832,0.70846754
KRAS (G12C) Inhibitor-12,1.6301533
ERK_2440,1.9072727
Acetalax,2.9228063
LY2109761,0.7573913
AZD1332,1.9768646
Mirin,0.9750322
OTX015,2.576407
Wnt-C59,0.8930646
PRIMA-1MET,2.536084
PRT062607,1.67277
AZD5438,1.7511888
Obatoclax Mesylate,1.122807
AZD2014,2.1030917
OF-1,1.3320975
Selumetinib,2.1921606
WZ4003,1.6664882
Teniposide,2.3081763
Picolinici-acid,0.51715744
JAK_8517,2.1663966
Elephantin,1.448492
Ruxolitinib,0.84558564
VE-822,2.1091127
ERK_6604,1.4746181
IWP-2,0.63947654
PAK_5339,0.7589981
RVX-208,0.85979813
TAF1_5496,2.0876424
Dinaciclib,1.8113198
Nelarabine,0.61285585
IGF1R_3801,2.6301594
GSK343,0.6257708
CDK9_5576,1.7553754
LCL161,0.9326095
I-BET-762,1.588089
AZD5153,2.7508328
CDK9_5038,2.7689145
AZD1208,0.66612273
Dihydrorotenone,2.387881
ULK1_4989,1.8674768
Sabutoclax,1.0454173
AZ960,2.1816788
IAP_5620,1.7219491
Ibrutinib,2.0731776
AZD5991,3.7623687
Eg5_9814,2.213428
Vincristine,4.432077
GSK2606414,1.0477827
AZD5582,4.054654
Daporinad,2.5143669
OSI-027,1.675214
AZD8055,2.445617
SB216763,1.6242008
Axitinib,1.9010203
RO-3306,0.99752754
Tozasertib,2.2640526
GSK269962A,1.3249245
KU-55933,0.9440815
PF-4708671,0.87960577
AZD6482,1.878479
ZM447439,1.0483828
JQ1,3.926685
NU7441,0.8936949
SB505124,3.0129762
Ribociclib,1.7205962
Doramapimod,0.92057824
BMS-754807,3.4861448
BI-2536,3.4196124
Cetuximab,0.73908836
Doxorubicin,1.4054263
Etoposide,3.1007798
Bleomycin,4.707551
Bicalutamide,0.39082193
Bleomycin (50 uM),2.622267
Pemetrexed,2.6317875
AICA Ribonucleotide,1.1175122
