Drug,MSE_gene
Oxaliplatin,1.8573331
Ulixertinib,1.3130652
Fulvestrant,0.74126166
Uprosertib,2.1837575
Dactinomycin,1.4581313
Docetaxel,3.8656898
Camptothecin,2.7688615
5-Fluorouracil,2.4715075
Afatinib,1.727539
Taselisib,2.616632
PD0325901,1.7895879
Sapitinib,2.037348
Alpelisib,1.8168935
SCH772984,1.8261265
LGK974,0.82962954
Luminespib,2.6057527
Linsitinib,1.253973
GSK1904529A,1.0008141
EPZ5676,0.59346306
EPZ004777,0.6483003
Irinotecan,2.46616
PLX-4720,1.8224516
Nutlin-3a (-),1.7439417
MG-132,0.59186333
Staurosporine,1.4390855
MK-2206,1.9001163
Trametinib,2.5545206
Palbociclib,1.6041777
MK-1775,1.0933559
Cisplatin,2.1789677
Pictilisib,1.5299069
AZD7762,1.5247775
Olaparib,1.2571461
Dasatinib,3.298335
AZD3759,0.7614583
PD173074,1.7824105
Vorinostat,0.7276435
Dabrafenib,2.0342581
Paclitaxel,3.0671608
AZD4547,2.213736
Lapatinib,2.1527634
Sorafenib,1.1241214
Nilotinib,1.917206
Tamoxifen,0.9257656
Gemcitabine,6.950562
Venetoclax,2.0855768
Bortezomib,0.89397347
Wee1 Inhibitor,1.6670249
Osimertinib,1.0962317
AGI-5198,0.6006076
Ipatasertib,1.6428014
Erlotinib,1.0114018
Sepantronium bromide,1.780693
Cediranib,1.4941856
Buparlisib,0.5898444
YK-4-279,1.7401049
AZD8186,1.5134917
UMI-77,1.4600564
Cytarabine,2.848234
BPD-00008900,1.068632
MIM1,0.87382346
Dactolisib,1.966842
NVP-ADW742,1.7320309
Gefitinib,1.2445111
Telomerase Inhibitor IX,1.1113557
GDC0810,0.78643227
WEHI-539,2.4597688
BDP-00009066,1.0813375
Epirubicin,1.6556313
GSK2578215A,0.7517648
I-BRD9,1.1484756
P22077,1.4028653
AZD6738,1.4862211
AZD5363,1.4769062
BMS-536924,1.4226409
ABT737,2.5267644
WIKI4,0.7980906
Afuresertib,1.6156067
Savolitinib,1.2867382
Navitoclax,2.725658
Cyclophosphamide,0.6109315
MIRA-1,0.8524917
Pyridostatin,1.177414
Temozolomide,0.90671736
Vinorelbine,2.8321855
Vinblastine,3.2445095
Pevonedistat,2.9812374
Foretinib,1.3127507
BIBR-1532,0.92995185
MK-8776,1.6410826
Talazoparib,3.0796995
AMG-319,0.83530045
AZ6102,0.94640017
VX-11e,1.4784122
LJI308,0.5939648
AT13148,1.8743957
Rapamycin,1.7350658
GSK591,0.9248364
VE821,1.5265014
GNE-317,1.8033992
Crizotinib,1.8631778
Entinostat,1.867418
Alisertib,3.4897041
Fludarabine,2.3944464
Mitoxantrone,3.6220355
Niraparib,1.3678881
JAK1_8709,1.0804962
Leflunomide,0.5262395
IRAK4_4710,0.91575885
Entospletinib,1.2896532
BMS-345541,1.047257
Podophyllotoxin bromide,1.7646434
Gallibiscoquinazole,0.63302946
Sinularin,0.8222332
PCI-34051,1.1700222
Carmustine,0.77013415
Topotecan,2.8034744
AGI-6780,0.9150189
VSP34_8731,1.1405349
MN-64,0.9727554
ML323,0.8076202
XAV939,0.8526796
PFI3,0.58274615
Zoledronate,0.5714526
CZC24832,0.70371634
KRAS (G12C) Inhibitor-12,1.6143246
ERK_2440,1.8834031
Acetalax,2.9057434
LY2109761,0.77062106
AZD1332,1.9875457
Mirin,0.9689282
OTX015,2.5780427
Wnt-C59,0.9022455
PRIMA-1MET,2.5236747
PRT062607,1.6603671
AZD5438,1.7639062
Obatoclax Mesylate,1.1150475
AZD2014,2.0929894
OF-1,1.3312027
Selumetinib,2.1803606
WZ4003,1.683303
Teniposide,2.3011496
Picolinici-acid,0.5134999
JAK_8517,2.1758525
Elephantin,1.455433
Ruxolitinib,0.8570554
VE-822,2.125111
ERK_6604,1.4916277
IWP-2,0.6310538
PAK_5339,0.7564998
RVX-208,0.85496616
TAF1_5496,2.0664787
Dinaciclib,1.828899
Nelarabine,0.6171584
IGF1R_3801,2.6631916
GSK343,0.63016915
CDK9_5576,1.7519639
LCL161,0.93305194
I-BET-762,1.5919431
AZD5153,2.7283301
CDK9_5038,2.7935188
AZD1208,0.67755663
Dihydrorotenone,2.3730915
ULK1_4989,1.8602219
Sabutoclax,1.0495327
AZ960,2.1911356
IAP_5620,1.700944
Ibrutinib,2.0735726
AZD5991,3.78202
Eg5_9814,2.2279966
Vincristine,4.4889407
GSK2606414,1.0521944
AZD5582,4.1081977
Daporinad,2.4660528
OSI-027,1.6873368
AZD8055,2.3505292
SB216763,1.5993505
Axitinib,1.9772018
RO-3306,0.9174153
Tozasertib,2.1664038
GSK269962A,1.2896616
KU-55933,1.029804
PF-4708671,0.92572373
AZD6482,1.7239817
ZM447439,0.98572487
JQ1,4.0056844
NU7441,0.9899631
SB505124,2.9430785
Ribociclib,1.6431985
Doramapimod,0.9307528
BMS-754807,3.5460477
BI-2536,3.3655376
Cetuximab,0.7331007
Doxorubicin,1.4161198
Etoposide,3.0678675
Bleomycin,4.734668
Bicalutamide,0.37594336
Bleomycin (50 uM),2.5701408
Pemetrexed,2.6202297
AICA Ribonucleotide,1.1095971
