Drug,MSE_gene
Oxaliplatin,1.8343649
Ulixertinib,1.328212
Fulvestrant,0.7438498
Uprosertib,2.1330268
Dactinomycin,1.4901391
Docetaxel,3.8553107
Camptothecin,2.7660472
5-Fluorouracil,2.4312928
Afatinib,1.7130616
Taselisib,2.5431921
PD0325901,1.8172603
Sapitinib,2.0387354
Alpelisib,1.7919065
SCH772984,1.8272426
LGK974,0.8262978
Luminespib,2.5760708
Linsitinib,1.2313234
GSK1904529A,1.0035484
EPZ5676,0.6119712
EPZ004777,0.6601198
Irinotecan,2.4861395
PLX-4720,1.8447123
Nutlin-3a (-),1.6843863
MG-132,0.5626175
Staurosporine,1.4269447
MK-2206,1.8568119
Trametinib,2.5680408
Palbociclib,1.5698801
MK-1775,1.0672526
Cisplatin,2.20489
Pictilisib,1.5184822
AZD7762,1.5181867
Olaparib,1.2905422
Dasatinib,3.2050996
AZD3759,0.75582564
PD173074,1.7579027
Vorinostat,0.73946327
Dabrafenib,2.0704367
Paclitaxel,3.069519
AZD4547,2.2123244
Lapatinib,2.1251163
Sorafenib,1.1325306
Nilotinib,1.9025737
Tamoxifen,0.92719203
Gemcitabine,6.834412
Venetoclax,2.0518737
Bortezomib,0.9118057
Wee1 Inhibitor,1.6965183
Osimertinib,1.0825322
AGI-5198,0.60816574
Ipatasertib,1.6022031
Erlotinib,1.0267841
Sepantronium bromide,1.7646391
Cediranib,1.4718208
Buparlisib,0.5837736
YK-4-279,1.737834
AZD8186,1.5057719
UMI-77,1.4494454
Cytarabine,2.8665924
BPD-00008900,1.080784
MIM1,0.89916545
Dactolisib,1.9554389
NVP-ADW742,1.7337
Gefitinib,1.2596357
Telomerase Inhibitor IX,1.0693325
GDC0810,0.78665626
WEHI-539,2.3819191
BDP-00009066,1.0772536
Epirubicin,1.6362008
GSK2578215A,0.7657219
I-BRD9,1.1420628
P22077,1.3997879
AZD6738,1.4825327
AZD5363,1.4527488
BMS-536924,1.443556
ABT737,2.4860072
WIKI4,0.8120757
Afuresertib,1.5777904
Savolitinib,1.3289942
Navitoclax,2.721942
Cyclophosphamide,0.6254882
MIRA-1,0.8459001
Pyridostatin,1.201048
Temozolomide,0.90962213
Vinorelbine,2.809008
Vinblastine,3.2016866
Pevonedistat,3.0078123
Foretinib,1.3192458
BIBR-1532,0.94652116
MK-8776,1.6458029
Talazoparib,3.122922
AMG-319,0.82610375
AZ6102,0.95964086
VX-11e,1.476223
LJI308,0.5979711
AT13148,1.8814551
Rapamycin,1.7208035
GSK591,0.9199622
VE821,1.5207291
GNE-317,1.7870871
Crizotinib,1.8642346
Entinostat,1.88352
Alisertib,3.4644978
Fludarabine,2.4055264
Mitoxantrone,3.6344879
Niraparib,1.3527815
JAK1_8709,1.0857259
Leflunomide,0.53497213
IRAK4_4710,0.9086989
Entospletinib,1.2827857
BMS-345541,1.0133349
Podophyllotoxin bromide,1.7710133
Gallibiscoquinazole,0.642887
Sinularin,0.84386563
PCI-34051,1.165559
Carmustine,0.7834218
Topotecan,2.8017097
AGI-6780,0.89360076
VSP34_8731,1.1506178
MN-64,0.96967113
ML323,0.81334466
XAV939,0.84623635
PFI3,0.60173905
Zoledronate,0.5926355
CZC24832,0.72655135
KRAS (G12C) Inhibitor-12,1.6019226
ERK_2440,1.8545059
Acetalax,2.8879662
LY2109761,0.7605154
AZD1332,2.0388322
Mirin,0.9754752
OTX015,2.5870128
Wnt-C59,0.90882134
PRIMA-1MET,2.5199184
PRT062607,1.6773181
AZD5438,1.7701792
Obatoclax Mesylate,1.0958942
AZD2014,2.1057541
OF-1,1.3348098
Selumetinib,2.1372144
WZ4003,1.6882421
Teniposide,2.301966
Picolinici-acid,0.52283424
JAK_8517,2.1894271
Elephantin,1.4338036
Ruxolitinib,0.8450424
VE-822,2.1301613
ERK_6604,1.5017273
IWP-2,0.6352463
PAK_5339,0.7707057
RVX-208,0.8852223
TAF1_5496,2.03836
Dinaciclib,1.7999474
Nelarabine,0.63945735
IGF1R_3801,2.6686337
GSK343,0.63323915
CDK9_5576,1.7422575
LCL161,0.93714255
I-BET-762,1.5782949
AZD5153,2.693625
CDK9_5038,2.7567532
AZD1208,0.67323124
Dihydrorotenone,2.354969
ULK1_4989,1.8443232
Sabutoclax,1.0296197
AZ960,2.1524901
IAP_5620,1.7103887
Ibrutinib,2.0597732
AZD5991,3.7042916
Eg5_9814,2.2457538
Vincristine,4.454709
GSK2606414,1.0747548
AZD5582,4.1394043
Daporinad,2.4065535
OSI-027,1.6380185
AZD8055,2.4789414
SB216763,1.6572338
Axitinib,2.0339458
RO-3306,1.0403329
Tozasertib,2.0579643
GSK269962A,1.2911857
KU-55933,1.0612509
PF-4708671,0.9011014
AZD6482,1.6563712
ZM447439,0.9102405
JQ1,4.0869937
NU7441,1.082172
SB505124,2.9493294
Ribociclib,1.5795617
Doramapimod,1.0033712
BMS-754807,3.536969
BI-2536,3.6585028
Cetuximab,0.72265327
Doxorubicin,1.4206924
Etoposide,3.0684986
Bleomycin,4.60969
Bicalutamide,0.383084
Bleomycin (50 uM),2.5273616
Pemetrexed,2.6269822
AICA Ribonucleotide,1.1233032
