Drug,MSE_gene
Oxaliplatin,1.8250772
Ulixertinib,1.301181
Fulvestrant,0.7474445
Uprosertib,2.1184642
Dactinomycin,1.4537897
Docetaxel,3.829916
Camptothecin,2.7960732
5-Fluorouracil,2.451113
Afatinib,1.7077845
Taselisib,2.5515432
PD0325901,1.8166103
Sapitinib,2.024541
Alpelisib,1.7953509
SCH772984,1.8241671
LGK974,0.82959205
Luminespib,2.5811157
Linsitinib,1.2224443
GSK1904529A,1.0035911
EPZ5676,0.59377617
EPZ004777,0.6496188
Irinotecan,2.4889605
PLX-4720,1.8017759
Nutlin-3a (-),1.6992332
MG-132,0.5753187
Staurosporine,1.4348307
MK-2206,1.855365
Trametinib,2.5347998
Palbociclib,1.5907639
MK-1775,1.0673923
Cisplatin,2.1780777
Pictilisib,1.4760178
AZD7762,1.5026925
Olaparib,1.2746485
Dasatinib,3.2505217
AZD3759,0.7635086
PD173074,1.7677442
Vorinostat,0.73700684
Dabrafenib,2.0554168
Paclitaxel,3.0631359
AZD4547,2.1741903
Lapatinib,2.1215372
Sorafenib,1.1305419
Nilotinib,1.9006153
Tamoxifen,0.9373227
Gemcitabine,6.84551
Venetoclax,2.0638607
Bortezomib,0.90480715
Wee1 Inhibitor,1.714343
Osimertinib,1.0929497
AGI-5198,0.6027316
Ipatasertib,1.5829252
Erlotinib,1.0113212
Sepantronium bromide,1.7607698
Cediranib,1.4874777
Buparlisib,0.57096547
YK-4-279,1.7310385
AZD8186,1.5231639
UMI-77,1.4501246
Cytarabine,2.8722785
BPD-00008900,1.0989275
MIM1,0.8939906
Dactolisib,1.9413947
NVP-ADW742,1.7182311
Gefitinib,1.2517158
Telomerase Inhibitor IX,1.0978631
GDC0810,0.78815967
WEHI-539,2.4328034
BDP-00009066,1.0735314
Epirubicin,1.6198575
GSK2578215A,0.764222
I-BRD9,1.1593919
P22077,1.4058404
AZD6738,1.4989336
AZD5363,1.4706812
BMS-536924,1.4142777
ABT737,2.471379
WIKI4,0.81169844
Afuresertib,1.570334
Savolitinib,1.3027346
Navitoclax,2.737711
Cyclophosphamide,0.60956395
MIRA-1,0.8384697
Pyridostatin,1.1812885
Temozolomide,0.9239703
Vinorelbine,2.7840953
Vinblastine,3.190524
Pevonedistat,2.9703736
Foretinib,1.3019092
BIBR-1532,0.9472552
MK-8776,1.6321445
Talazoparib,3.11823
AMG-319,0.84507006
AZ6102,0.94759285
VX-11e,1.4753568
LJI308,0.59546834
AT13148,1.8622597
Rapamycin,1.7081385
GSK591,0.9235541
VE821,1.5362849
GNE-317,1.7886322
Crizotinib,1.843872
Entinostat,1.8843691
Alisertib,3.472567
Fludarabine,2.4255137
Mitoxantrone,3.6091115
Niraparib,1.3676052
JAK1_8709,1.0800467
Leflunomide,0.5316982
IRAK4_4710,0.9068398
Entospletinib,1.2885624
BMS-345541,1.0307778
Podophyllotoxin bromide,1.757958
Gallibiscoquinazole,0.6335683
Sinularin,0.8344066
PCI-34051,1.1655598
Carmustine,0.78453904
Topotecan,2.7773023
AGI-6780,0.9036082
VSP34_8731,1.1373669
MN-64,0.9780755
ML323,0.8073681
XAV939,0.85338897
PFI3,0.59343386
Zoledronate,0.5846877
CZC24832,0.72196454
KRAS (G12C) Inhibitor-12,1.6035464
ERK_2440,1.8512985
Acetalax,2.8932996
LY2109761,0.75993824
AZD1332,2.020486
Mirin,0.97175145
OTX015,2.6296315
Wnt-C59,0.92046416
PRIMA-1MET,2.5141113
PRT062607,1.7119986
AZD5438,1.7724618
Obatoclax Mesylate,1.1086974
AZD2014,2.0947511
OF-1,1.342609
Selumetinib,2.1639822
WZ4003,1.6731759
Teniposide,2.2857563
Picolinici-acid,0.5167291
JAK_8517,2.17727
Elephantin,1.445491
Ruxolitinib,0.8410066
VE-822,2.1316288
ERK_6604,1.496818
IWP-2,0.6368652
PAK_5339,0.7744158
RVX-208,0.8751013
TAF1_5496,2.0620983
Dinaciclib,1.8082014
Nelarabine,0.64057565
IGF1R_3801,2.6492171
GSK343,0.64023334
CDK9_5576,1.7414417
LCL161,0.94796896
I-BET-762,1.5992974
AZD5153,2.718894
CDK9_5038,2.7835805
AZD1208,0.6915195
Dihydrorotenone,2.3768241
ULK1_4989,1.8526419
Sabutoclax,1.0413808
AZ960,2.1404574
IAP_5620,1.6882107
Ibrutinib,2.0666833
AZD5991,3.7155023
Eg5_9814,2.243935
Vincristine,4.4306173
GSK2606414,1.0817819
AZD5582,4.1056614
Daporinad,2.4216065
OSI-027,1.652345
AZD8055,2.335841
SB216763,1.615036
Axitinib,2.0621686
RO-3306,0.9296951
Tozasertib,2.131489
GSK269962A,1.3052411
KU-55933,1.1992816
PF-4708671,0.96892774
AZD6482,1.8296446
ZM447439,0.9438337
JQ1,4.1110287
NU7441,1.0583446
SB505124,2.8803453
Ribociclib,1.6007129
Doramapimod,0.9546524
BMS-754807,3.4974525
BI-2536,3.3641288
Cetuximab,0.73725075
Doxorubicin,1.4303068
Etoposide,3.064627
Bleomycin,4.6898665
Bicalutamide,0.37984616
Bleomycin (50 uM),2.5449486
Pemetrexed,2.6367488
AICA Ribonucleotide,1.1108165
