Task,Mean_MSE,Mean_Pearson
Oxaliplatin,1.478602,0.6875988816285741
Ulixertinib,1.2526857,0.5274586411345692
Fulvestrant,0.6897424,0.577584888185387
Uprosertib,2.0692213,0.5310107251282691
Dactinomycin,1.4047683,0.5981900917980995
Docetaxel,3.5956466,0.5535600232331827
Camptothecin,2.5333588,0.5944235696742038
5-Fluorouracil,2.1432116,0.5882129551558611
Afatinib,1.8359332,0.468104225709106
Taselisib,2.6203315,0.4516588485814423
PD0325901,1.6741353,0.6580598357474506
Sapitinib,1.9855328,0.5636018435483012
Alpelisib,1.7088603,0.4529836456469633
SCH772984,1.8949556,0.6280083682359202
LGK974,0.79126024,0.5834183511959443
Luminespib,2.6666057,0.5230782615906597
Linsitinib,1.2274758,0.5625919969447488
GSK1904529A,0.94062185,0.5255324688540485
EPZ5676,0.6247373,0.6377949024071108
EPZ004777,0.6172356,0.5983404152115669
Irinotecan,2.3983343,0.6259372663041947
PLX-4720,1.587151,0.47546614110781266
Nutlin-3a (-),1.5865593,0.7181637075557936
MG-132,0.60495543,0.442677492662642
Staurosporine,1.5157758,0.4931487846885099
MK-2206,1.8894377,0.5395600688020273
Trametinib,2.6620953,0.690552116416264
Palbociclib,1.6196913,0.6311708125361474
MK-1775,1.2195503,0.6272157040262669
Cisplatin,2.2612689,0.6455154525085757
Pictilisib,1.5482947,0.37356212632645885
AZD7762,1.4752492,0.5850354039988942
Olaparib,1.1242355,0.6088817160817275
Dasatinib,3.3007126,0.5978474202374069
AZD3759,0.8505147,0.4893911118981191
PD173074,1.51227,0.5202792906643049
Vorinostat,0.74274665,0.6591624137079279
Dabrafenib,2.0571089,0.6081996857993729
Paclitaxel,2.9969451,0.5994018680778196
AZD4547,1.8475771,0.483613713416654
Lapatinib,2.1221085,0.45779179744536397
Sorafenib,1.0517792,0.6388843139430216
Nilotinib,1.812512,0.6546145475525926
Tamoxifen,0.9021576,0.5148865272464268
Gemcitabine,6.7148986,0.6022707656365504
Venetoclax,1.6091965,0.7106382502399611
Bortezomib,0.9371567,0.44682094742128703
Wee1 Inhibitor,1.5331577,0.6378200765323806
Osimertinib,1.273353,0.4847118343026276
AGI-5198,0.63539094,0.5258574303815357
Ipatasertib,1.7333206,0.47054064984885163
Erlotinib,1.1574572,0.48960306189869157
Sepantronium bromide,2.151023,0.418596781773906
Cediranib,1.2270832,0.36515064588657103
Buparlisib,0.61686915,0.49825854047546025
YK-4-279,1.8275539,0.6283951790648103
AZD8186,1.565917,0.3622744422416078
UMI-77,1.5065331,0.4151922838486653
Cytarabine,2.8677797,0.678127645591294
BPD-00008900,1.0641422,0.5057539933421421
MIM1,1.0273925,0.5318732143494826
Dactolisib,1.8867474,0.4170112400105718
NVP-ADW742,1.7286472,0.49937250774356134
Gefitinib,1.1958523,0.4949024378485756
Telomerase Inhibitor IX,1.1768793,0.5658508398687344
GDC0810,0.75300723,0.5008749078987108
WEHI-539,2.4506683,0.535346801415184
BDP-00009066,1.1633228,0.47360545421105166
Epirubicin,1.6728548,0.621632036193203
GSK2578215A,0.75135344,0.5301413085032615
I-BRD9,1.0680647,0.6422609027623751
P22077,1.5226202,0.5538572542319854
AZD6738,1.5268914,0.5614971725275899
AZD5363,1.5588459,0.5123237888911581
BMS-536924,1.6022259,0.3891717639308084
ABT737,2.2287297,0.6825366141383632
WIKI4,0.8334234,0.2696982469621124
Afuresertib,1.7084426,0.5066843197988852
Savolitinib,1.2214113,0.4332402626321062
Navitoclax,2.8390331,0.5927478008489642
Cyclophosphamide,0.6064269,0.5620059560345098
MIRA-1,0.8115198,0.686724620478857
Pyridostatin,1.178655,0.5370584131411087
Temozolomide,0.85506064,0.6622368526119872
Vinorelbine,2.787713,0.6544831897915352
Vinblastine,2.9757576,0.6392048540765717
Pevonedistat,2.935154,0.5986207317382438
Foretinib,1.4064122,0.5368159165384868
BIBR-1532,0.82698077,0.5325234156908857
MK-8776,1.6478595,0.6366903459454467
Talazoparib,3.035619,0.5930772573595776
AMG-319,0.8220735,0.6402416876367057
AZ6102,1.0717201,0.4316468946694547
VX-11e,1.4766012,0.5534573464752159
LJI308,0.76566917,0.5738269752608741
AT13148,2.048251,0.5228684465802119
Rapamycin,1.686834,0.5410367952514863
GSK591,1.0119437,0.5090517607942955
VE821,1.5353317,0.64351700456229
GNE-317,1.6536708,0.3049780084625254
Crizotinib,1.7427592,0.5507792224730196
Entinostat,1.6716093,0.6012038037846026
Alisertib,3.180076,0.6379778073600798
Fludarabine,2.4977102,0.58096172380207
Mitoxantrone,3.1682599,0.6245015633425217
Niraparib,1.2783535,0.679635987360181
JAK1_8709,1.1041747,0.5647643696156771
Leflunomide,0.5387418,0.5952376167835768
IRAK4_4710,0.83438563,0.44271444338487326
Entospletinib,1.2811762,0.42076792714432937
BMS-345541,1.0602342,0.6221268134338676
Podophyllotoxin bromide,1.6307985,0.604886435168176
Gallibiscoquinazole,0.6355341,0.5075135369998081
Sinularin,0.82556134,0.4871478824495921
PCI-34051,1.0776492,0.6173732316452412
Carmustine,0.7061146,0.584934458692674
Topotecan,2.691389,0.5577145315098927
AGI-6780,0.8338534,0.5704025500750173
VSP34_8731,0.9812267,0.4636914188729016
MN-64,0.91141623,0.47297998562688653
ML323,0.7774201,0.5607552043814611
XAV939,0.8238147,0.36939965944440817
PFI3,0.5946133,0.5691662552415492
Zoledronate,0.5985429,0.6350767454009696
CZC24832,0.7379883,0.5617717551681359
KRAS (G12C) Inhibitor-12,1.6075792,0.5981742385119853
ERK_2440,1.83976,0.5191743616234251
Acetalax,2.98931,0.622498365919939
LY2109761,0.718904,0.5343440677694453
AZD1332,2.1426415,0.34292986071770065
Mirin,1.0365871,0.5766985863628601
OTX015,2.7829468,0.46267686643151357
Wnt-C59,0.87967277,0.5590009078984498
PRIMA-1MET,2.4600008,0.5438667555870172
PRT062607,1.5799932,0.48564309123854005
AZD5438,1.6474389,0.5628309852545063
Obatoclax Mesylate,1.0654906,0.38765102379962585
AZD2014,1.9132184,0.3472783321186692
OF-1,1.1551332,0.4560668664607421
Selumetinib,2.1848984,0.642998230933971
WZ4003,1.6531094,0.42678965719381085
Teniposide,2.349555,0.654395657149375
Picolinici-acid,0.5024573,0.5734457604429953
