UniProt_ID	gene name
P47897	QARS
Q9Y6K8	AK5
P14091	CTSE
Q69YN2	CWF19L1
O43927	CXCL13
O75534	CSDE1
P51397	DAP
Q9NPA8	ENY2
Q9UMR2	DDX19B
Q9Y6V7	DDX49
Q9NY93	DDX56
O60443	DFNA5
Q14147	DHX34
Q9H095	IQCG
Q9H0E4	Not Found
Q9Y4P8	WIPI2
O95563	MPC2
Q9H4K1	RIBC2
Q86YV5	SGK223
Q8NCD3	HJURP
Q16643	DBN1
Q86UK7	ZNF598
P26358	DNMT1
Q07507	DPT
O14531	DPYSL4
Q9Y295	DRG1
O75319	DUSP11
P30084	ECHS1
Q9NR50	EIF2B3
Q16842	ST3GAL2
P00742	F10
O00757	FBP2
Q9NXK8	FBXL12
Q9NWN3	FBXO34
O14526	FCHO1
P14866	HNRNPL
P26885	FKBP2
Q9UIM3	FKBPL
Q86YJ6	THNSL2
Q8WVR3	C7orf43
Q6PD74	AAGAB
Q6T4P5	LPPR3
Q96BT3	CENPT
Q3B820	FAM161A
Q86Y56	HEATR2
Q9NWR8	CCDC109B
Q53HC0	CCDC92
Q6PGQ7	BORA
Q86YJ7	ANKRD13B
Q96M11	HYLS1
P60520	GABARAPL2
Q13724	MOGS
Q96A33	CCDC47
Q9NZM5	GLTSCR2
P49448	GLUD2
Q9BSF8	BTBD10
P61952	GNG11
P00505	GOT2
Q9P298	HIGD1B
Q96FK6	WDR89
Q8NEV4	MYO3A
B2RTY4	MYO9A
O14949	UQCRQ
Q96GD3	SCMH1
Q86VK4	ZNF410
P00390	GSR
Q15011	HERPUD1
Q6IAL2	Not Found
Q9UK76	HN1
P34932	HSPA4
Q96EW2	HSPBAP1
Q9GZP4	PITHD1
O43719	HTATSF1
P24593	IGFBP5
Q93033	CD101
A1L0T0	ILVBL
Q9NPH2	ISYNA1
Q12809	KCNH2
Q14695	KIAA0087
Q92628	KIAA0232
Q5MIZ7	SMEK2
A6NE52	KIAA1875
O43240	KLK10
P32004	L1CAM
P56470	LGALS4
Q96Q04	LMTK3
Q8IX85	Not Found
Q5VV52	ZNF691
Q49AJ0	FAM135B
Q6FII1	Not Found
Q6YP21	CCBL2
Q6UWE0	LRSAM1
P09960	LTA4H
Q8NCC3	PLA2G15
Q9ULX9	MAFF
Q9Y3D7	PAM16
Q9UPT6	MAPK8IP3
Q9GZU1	MCOLN1
P40926	MDH2
Q9P0N5	TMEM216
Q9BUT9	FAM195A
P0CW24	PNMA6A
Q5VUD6	FAM69B
Q9BTV4	TMEM43
Q9H6J7	C11orf49
Q99685	MGLL
Q9NPJ1	MKKS
P58340	MLF1
Q96DV4	MRPL38
Q9BYD3	MRPL4
Q9BYN8	MRPS26
P82933	MRPS9
Q9GZW8	MS4A7
Q15345	LRRC41
P53602	MVD
O95182	NDUFA7
Q99519	NEU1
Q8N5F7	NKAP
O75607	NPM3
P22736	NR4A1
Q9UNZ2	NSFL1C
Q9H1E3	NUCKS1
Q9H0T7	RAB17
Q9UKK9	NUDT5
P04181	OAT
O15527	OGG1
O95897	OLFM2
Q8N138	ORMDL3
Q9H3H3	C11orf68
Q9BY11	PACSIN1
P22061	PCMT1
P18669	PGAM1
O14832	PHYH
Q9UG56	PISD
Q9P212	PLCE1
Q9NYY3	PLK2
O43688	PPAP2C
Q9UD71	PPP1R1B
O00487	PSMD14
Q6IBS0	TWF2
Q14761	PTPRCAP
Q15269	PWP2
Q15907	RAB11B
Q9NP72	RAB18
Q15286	RAB35
P20338	RAB4A
P61006	RAB8A
Q9P2K9	PTCHD2
Q09028	RBBP4
Q9P244	LRFN1
Q7L099	RUFY3
Q9NTX7	RNF146
P27635	RPL10
P61313	RPL15
P46778	RPL21
Q9UK32	RPS6KA6
Q9NQC3	RTN4
Q9NPI5	NMRK2
Q8WVM8	SCFD1
P84101	SERF2
P05154	SERPINA5
P50454	SERPINH1
Q08170	SRSF4
P05408	SCG5
Q96HL8	SH3YL1
Q02978	SLC25A11
Q99624	SLC38A3
Q6IAM7	Not Found
Q9UKM9	RALY
Q13387	MAPK8IP2
P28290	SSFA2
O94864	SUPT7L
P49675	STAR
Q9NUL3	STAU2
Q9H169	STMN4
Q9H5I1	SUV39H2
O95425	SVIL
Q86YL7	PDPN
Q16635	TAZ
Q5QP82	DCAF10
O43680	TCF21
Q969U7	PSMG2
P50616	TOB1
Q8IZ08	GPR135
Q7Z4K8	TRIM46
Q6FI91	Not Found
P61077	UBE2D3
P51965	UBE2E1
Q92575	UBXN4
O60701	UGDH
P11172	UMPS
P51784	USP11
Q9UPT9	USP22
Q14508	WFDC2
Q9NQW7	XPNPEP1
Q9H773	DCTPP1
O15209	ZBTB22
Q9Y508	RNF114
Q9H4T2	ZSCAN16
Q52M93	ZNF585B
Q96JF6	ZNF594
Q9NUT2	ABCB8
Q9BRR6	ADPGK
P13798	APEH
Q6UW56	ATRAID
Q9Y3M9	ZNF337
O60512	B4GALT3
Q9Y5U8	MPC1
Q9H910	HN1L
P17152	TMEM11
Q9HDC9	APMAP
Q96A57	TMEM230
Q8N357	C2orf18
Q8IVM0	CCDC50
Q5TCS8	AKD1
O75947	ATP5H
O95760	IL33
Q9BTM9	URM1
Q99750	MDFI
Q9ULU8	CADPS
P16152	CBR1
Q9HCU4	CELSR2
Q15390	MTFR1
P11230	CHRNB1
Q02388	COL7A1
Q86YV9	HPS6
P07108	DBI
Q9NVP1	DDX18
O96024	B3GALT4
O95424	DEXI
Q7Z478	DHX29
Q6ZRI6	C15orf39
O75208	COQ9
Q8N201	INTS1
Q4VC44	FLYWCH1
Q96QD9	FYTTD1
Q9Y2H0	DLGAP4
Q09019	DMWD
O00429	DNM1L
Q6IAV4	Not Found
Q9BPU6	DPYSL5
Q8NFZ0	FBXO18
O43427	FIBP
Q9H8Y5	ANKZF1
Q9HCE6	ARHGEF10L
Q75KN0	Not Found
Q53HC5	KLHL26
Q8N9T8	KRI1
Q9H8M7	FAM188A
Q9BVJ7	DUSP23
Q96DW6	SLC25A38
Q96EY7	PTCD3
Q9H5Q2	Not Found
Q8N8Q3	ENDOV
Q8NDZ2	C5orf25
Q96I30	GPR108
Q9UM11	FZR1
P23416	GLRA2
Q9H8U3	ZFAND3
Q9UMS0	NFU1
Q93077	HIST1H2AC
P19367	HK1
Q96DI7	SNRNP40
Q8TCE6	FAM45A
P32942	ICAM3
P49441	INPP1
Q9NQX7	ITM2C
Q15397	KIAA0020
Q96QE5	TEFM
Q15005	SPCS2
Q9Y4R8	TELO2
O94967	WDR47
Q6EMB2	TTLL5
Q9C099	LRRCC1
Q9ULH0	KIDINS220
Q16787	LAMA3
Q6IAN0	DHRS7B
O43570	CA12
Q8TB05	FAM100A
Q69YU3	ANKRD34A
P51884	LUM
O60664	PLIN3
Q9UNF1	MAGED2
P56192	MARS
Q96A73	KIAA1191
Q96BY9	TMEM66
P25189	MPZ
Q9BYD2	MRPL9
Q9HC74	Not Found
Q8N159	NAGS
Q9BTV5	FSD1
Q9BPW8	NIPSNAP1
O94818	NOL4
P51513	NOVA1
Q99567	NUP88
Q9NVE7	PANK4
Q8NDT9	Not Found
Q15119	PDK2
P52209	PGD
Q32NB8	PGS1
Q99755	PIP5K1A
Q8NG27	PJA1
O15496	PLA2G10
P14555	PLA2G2A
Q8IWE5	PLEKHM2
P20264	POU3F3
Q86XM6	Not Found
A5PKW4	PSD
O60234	GMFG
Q9UK61	FAM208A
O43374	RASA4
Q7LDG7	RASGRP2
Q6NUQ1	RINT1
O00458	IFRD1
Q86XS8	RNF130
P04843	RPN1
Q6IA17	SIGIRR
P42677	RPS27
P62979	RPS27A
P48443	RXRG
Q9UH03	SEPT3
Q15758	SLC1A5
O43772	SLC25A20
O00193	SMAP
Q16143	SNCB
Q9Y343	SNX24
Q9Y657	SPIN1
Q9HD15	SRA1
Q6P4A2	Not Found
Q08945	SSRP1
Q9UNK0	STX8
Q99595	TIMM17A
Q8TBE7	SLC35G2
Q9BXJ8	TMEM120A
O14787	TNPO2
O95361	TRIM16
P17480	UBTF
Q9BV38	WDR18
Q9UNX4	WDR3
Q9HBT7	ZNF287
Q8WXK3	ASB13
O95786	DDX58
Q7Z434	MAVS
Q8WYJ6	SEPT1
ensembl:ENSG00000129173	Not Found
ensembl:ENSG00000101412	Not Found
ensembl:ENSG00000145386	Not Found
Q9UID6	ZNF639
P30279	CCND2
Q9JJV8	Not Found
P51813	BMX
P11309	PIM1
P16444	DPEP1
P31269	HOXA9
O00444	PLK4
Q9H788	SH2D4A
Q8IYI6	EXOC8
Q9HCM9	TRIM39
P54920	NAPA
Q9C005	DPY30
Q96FH0	MEF2BNB
Q9UIC8	LCMT1
Q96MF2	STAC3
Q9UFG5	C19orf25
Q15699	ALX1
Q96CN9	GCC1
Q03426	MVK
P47804	RGR
Q53HV7	SMUG1
Q9UEU5	GAGE2D
O60568	PLOD3
Q3YEC7	RABL6
Q9XRX5	HHLA3
O75800	ZMYND10
Q8N6Y0	USHBP1
P02538	KRT6A
P61457	PCBD1
Q9BT78	COPS4
O95967	EFEMP2
Q04695	KRT17
Q8WWR8	NEU4
Q9Y2X8	UBE2D4
Q8IY31	IFT20
Q8N5R6	CCDC33
Q96GY3	LIN37
Q7Z412	PEX26
Q8N5Z5	KCTD17
Q9BVI4	NOC4L
Q13155	AIMP2
Q9Y281	CFL2
Q9UJ70	NAGK
P57077	TAK1L
Q9UJ83	HACL1
Q9BUX1	CHAC1
O15155	BET1
O43663	PRC1
O75604	USP2
Q96AJ1	CLUAP1
Q9NX63	CHCHD3
Q9P2K3	RCOR3
Q5VWX1	KHDRBS2
Q15475	SIX1
Q96GX9	APIP
Q969X0	RILPL2
O60936	NOL3
Q8N5I3	KCNRG
Q9BV20	MRI1
Q9BUH8	BEGAIN
Q9UBV8	PEF1
Q96BS2	TESC
Q5JSZ5	PRRC2B
Q9H8Y8	GORASP2
Q6ZU52	KIAA0408
Q96PV6	LENG8
P43364	MAGEA11
P19012	KRT15
Q13137	CALCOCO2
Q15834	CCDC85B
Q15274	QPRT
P32321	DCTD
Q9P2K6	KLHDC5
Q9HAF1	MEAF6
Q15642	TRIP10
Q9NX65	ZNF434
P98175	RBM10
P57060	RWDD2B
Q96HA1	POM121
O15162	PLSCR1
O96006	ZBED1
O00214	LGALS8
P36406	TRIM23
P35520	CBS
Q9Y6E0	STK24
P53567	CEBPG
Q9NWS9	ZNF446
Q9BQD3	KXD1
Q93062	RBPMS
Q9HC98	NEK6
O60941	DTNB
Q9UBF6	RNF7
P32242	OTX1
P46976	GYG1
P21266	GSTM3
Q93100	PHKB
P56597	NME5
Q5TAQ9	DCAF8
O94989	ARHGEF15
P50995	ANXA11
Q9BXS5	AP1M1
O43298	ZBTB43
O95471	CLDN7
P49639	HOXA1
Q9Y620	RAD54B
Q9NRF8	CTPS2
O75909	CCNK
P04259	KRT6B
Q9NZ81	PRR13
P62760	VSNL1
Q9NRX4	PHPT1
Q9NRG1	PRTFDC1
Q96AL5	Not Found
Q0VDD7	C19orf57
Q53G59	KLHL12
Q15019	SEPT2
Q16526	CRY1
P17509	HOXB6
P57052	RBM11
O43638	FOXS1
Q9BT49	THAP7
P08651	NFIC
P15622	ZNF250
Q8NDC0	MAPK1IP1L
Q9NVM9	Asun
Q86YR5	GPSM1
P52789	HK2
Q9NVV9	THAP1
O95985	TOP3B
P56545	CTBP2
O94972	TRIM37
Q9UL46	PSME2
Q9BWD3	FAM127B
O43739	CYTH3
P49910	ZNF165
Q8NA61	SPERT
Q00994	NGFRAP1
P49789	FHIT
Q96G97	BSCL2
Q15006	EMC2
Q9BVR6	TUBGCP4
Q9NP50	FAM60A
P49366	DHPS
Q9BRG1	VPS25
Q9NS73	MBIP
Q6UY11	DLK2
Q9P2A4	ABI3
O75525	KHDRBS3
Q03154	ACY1
P49902	NT5C2
P35900	KRT20
Q16799	RTN1
O95810	SDPR
Q8TAP4	LMO3
O75478	TADA2A
P78362	SRPK2
Q14241	TCEB3
O96015	DNAL4
Q92609	TBC1D5
O95199	RCBTB2
Q9UNF0	PACSIN2
P48380	RFX3
Q9Y6D9	MAD1L1
P35638	DDIT3
P55198	MLLT6
Q14596	NBR1
O76083	PDE9A
O00505	KPNA3
Q9NR12	PDLIM7
Q14847	LASP1
O76071	CIAO1
Q9H6L4	ARMC7
Q02040	AKAP17A
Q9NZD8	SPG21
Q8WU10	PYROXD1
Q5JR59	MTUS2
Q9BPX1	HSD17B14
O94993	SOX30
Q13409	DYNC1I2
Q8IYF3	TEX11
Q99259	GAD1
O95671	ASMTL
O60232	SSSCA1
P21964	COMT
Q06455	RUNX1T1
A8K8P3	SFI1
Q9GZT8	NIF3L1
Q9Y2I6	NINL
Q96QU6	ACCS
O95990	FAM107A
Q86SE5	RALYL
P48775	TDO2
P51668	UBE2D1
Q05516	ZBTB16
O43617	TRAPPC3
Q9Y3Q8	TSC22D4
Q8WV44	TRIM41
Q6ZVK8	NUDT18
Q9BQ66	KRTAP4-12
Q16851	UGP2
Q01826	SATB1
P26992	CNTFR
O60269	GPRIN2
Q8TBN0	RAB3IL1
P04155	TFF1
Q9Y577	TRIM17
Q6P1W5	C1orf94
Q969F0	FATE1
Q9NXX0	Not Found
P13805	TNNT1
Q96BY2	MOAP1
Q9P286	PAK7
Q9H0I2	ENKD1
O76064	RNF8
Q7Z5J4	RAI1
Q92624	APPBP2
Q96EK5	KIAA1279
O75427	LRCH4
Q96FJ2	DYNLL2
P14136	GFAP
P54652	HSPA2
O14764	GABRD
P84243	H3F3A
O75150	RNF40
Q96D16	Not Found
Q9NTK1	DEPP
Q99877	HIST1H2BN
Q96GA7	SDSL
Q8WYH8	ING5
Q8TBE0	BAHD1
O14978	ZNF263
Q96ED9	HOOK2
P33316	DUT
P15407	FOSL1
Q9P1W9	PIM2
Q96HB5	CCDC120
Q9BQY4	RHOXF2
Q6PKC6	Not Found
O75177	SS18L1
Q14088	RAB33A
O75344	FKBP6
Q9UM19	HPCAL4
P49247	RPIA
P10074	ZBTB48
O95379	TNFAIP8
Q96KQ7	EHMT2
Q96QU8	XPO6
Q8IYF1	TCEB3B
Q6UY14	ADAMTSL4
O00161	SNAP23
P09914	IFIT1
Q07352	ZFP36L1
Q9NP79	VTA1
Q13247	SRSF6
P17482	HOXB9
Q9C0A6	SETD5
Q9H4E7	DEF6
Q9BSW7	SYT17
Q9P2Z0	THAP10
Q14749	GNMT
Q96GL3	Not Found
Q9P0T4	ZNF581
Q9NR22	PRMT8
O15015	ZNF646
P10451	SPP1
Q6RW13	AGTRAP
Q13069	GAGE5
Q9NXR7	BRE
Q5T681	C10orf62
P17040	ZSCAN20
P53365	ARFIP2
Q9BVK8	TMEM147
O43791	SPOP
Q9BU64	CENPO
Q8N5H7	SH2D3C
P55064	AQP5
Q8TAP6	CEP76
Q8IZ03	Not Found
Q49AR2	C5orf22
Q9UK33	ZNF580
Q96D15	RCN3
Q8NE01	CNNM3
Q13422	IKZF1
P53816	PLA2G16
Q8NEF3	CCDC112
O00746	NME4
O60547	GMDS
P52306	RAP1GDS1
O60573	EIF4E2
Q16718	NDUFA5
Q9UNT1	RABL2B
P05161	ISG15
Q9UKJ5	CHIC2
Q8N336	ELMOD1
Q96AW5	Not Found
P09493	TPM1
Q96AQ6	PBXIP1
Q8IUU6	Not Found
P15104	GLUL
P19237	TNNI1
Q9UJC3	HOOK1
P48378	RFX2
Q00013	MPP1
Q9BTL3	FAM103A1
P12277	CKB
Q92871	PMM1
Q13895	BYSL
Q9BY27	DGCR6L
Q13287	NMI
Q9Y580	RBM7
O75084	FZD7
O75541	ZNF821
Q9UJX2	CDC23
Q96QG7	MTMR9
P09327	VIL1
Q9Y4P9	SPEF1
P62854	RPS26
P62166	NCS1
O95198	KLHL2
Q9H0L4	CSTF2T
Q14872	MTF1
Q9BW83	IFT27
Q9Y5P4	COL4A3BP
Q9BUY5	ZNF426
P27658	COL8A1
Q86UW9	DTX2
Q14558	PRPSAP1
Q8WU02	Not Found
Q02218	OGDH
Q9HC44	GPBP1L1
Q9Y2J4	AMOTL2
O95721	SNAP29
Q9H094	NBPF3
O95201	ZNF205
Q8WXE1	ATRIP
Q96K80	ZC3H10
P78364	PHC1
Q03014	HHEX
O60763	USO1
Q9Y248	GINS2
P27482	CALML3
Q9GZN8	C20orf27
Q8NFF5	FLAD1
Q99708	RBBP8
P08134	RHOC
Q9UKW6	ELF5
Q14966	ZNF638
Q969Y2	GTPBP3
Q96H20	SNF8
Q15561	TEAD4
Q9UKI2	CDC42EP3
O95197	RTN3
Q53EZ4	CEP55
Q9UBZ4	APEX2
O94817	ATG12
Q9NYB9	ABI2
Q9P209	CEP72
P06753	TPM3
Q9BWD7	Not Found
Q6ZN18	AEBP2
P26651	ZFP36
Q9BY43	CHMP4A
Q7Z7J5	DPPA2
Q9NQZ6	ZC4H2
Q8TAB5	C1orf216
O43708	GSTZ1
Q0D2I5	IFFO1
Q9NWS0	PIH1D1
Q9Y5B8	NME7
P00492	HPRT1
Q8N2Y6	Not Found
Q9Y467	SALL2
Q13643	FHL3
P24278	ZBTB25
P78337	PITX1
P11597	CETP
Q9BXC9	BBS2
O15160	POLR1C
P78368	CSNK1G2
P50222	MEOX2
Q9UQN3	CHMP2B
Q15056	EIF4H
Q96BY6	DOCK10
P14209	CD99
O43439	CBFA2T2
O75506	HSBP1
O43598	RCL
Q8N355	Not Found
P62195	PSMC5
Q9Y312	AAR2
O94855	SEC24D
O00148	DDX39A
O43488	AKR7A2
P62875	POLR2L
Q9UBU8	MORF4L1
Q9NR21	PARP11
O95154	AKR7A3
O43683	BUB1
Q9UNY5	ZNF232
Q8WVD3	RNF138
Q9H267	VPS33B
Q15555	MAPRE2
Q8N381	Not Found
P51808	DYNLT3
Q15427	SF3B4
P53618	COPB1
O43281	EFS
P60891	PRPS1
Q9NYH9	UTP6
Q8N4D0	Not Found
Q9UKF7	PITPNC1
Q8WUX9	CHMP7
Q9NVE4	CCDC87
Q8N715	C1orf65
O75716	STK16
Q5T5P2	KIAA1217
P37235	HPCAL1
Q96HL7	Not Found
Q96SL4	GPX7
Q96AT9	RPE
Q00587	CDC42EP1
Q92630	DYRK2
Q6IA69	NADSYN1
O75971	SNAPC5
P43365	MAGEA12
Q9H446	RWDD1
Q12874	SF3A3
P61601	NCALD
Q9NRQ2	PLSCR4
Q9Y5P3	RAI2
Q14576	ELAVL3
Q4U2R8	SLC22A6
P26378	ELAVL4
P32929	CTH
P62829	RPL23
Q96L14	CEP170P1
Q9C040	TRIM2
Q9BRK4	LZTS2
P55735	SEC13
Q96PP8	GBP5
P57086	SCAND1
P56279	TCL1A
Q9NQX5	NPDC1
P55273	CDKN2D
Q14376	GALE
Q00796	SORD
Q9UM82	SPATA2
Q13021	MALL
Q96S44	TP53RK
P81877	SSBP2
P04424	ASL
O75830	SERPINI2
O14879	IFIT3
Q96GT9	XAGE2
Q99576	TSC22D3
O00167	EYA2
P35542	SAA4
Q99447	PCYT2
Q9BU20	RSG1
Q8N612	FAM160A2
P28702	RXRB
O15389	SIGLEC5
Q9UBX3	SLC25A10
Q9UBP6	METTL1
P36382	GJA5
P53672	CRYBA2
O00204	SULT2B1
P45381	ASPA
Q9Y4C2	FAM115A
P49901	SMCP
O95639	CPSF4
O95391	SLU7
P55039	DRG2
Q9NUU7	DDX19A
Q9UI26	IPO11
Q96ES7	CCDC101
Q14011	CIRBP
Q5TD97	FHL5
Q9UNP9	PPIE
Q96BD8	SKA1
Q53H80	AKIRIN2
Q9BSL1	UBAC1
Q96E93	KLRG1
Q8N554	ZNF276
O75865	TRAPPC6A
P07902	GALT
Q8NHQ1	CEP70
P61225	RAP2B
P48723	HSPA13
O95817	BAG3
Q9H832	UBE2Z
Q9Y5P6	GMPPB
Q96BR9	ZBTB8A
Q99594	TEAD3
Q13572	ITPK1
Q9ULA0	DNPEP
Q8N2M8	CLASRP
Q6ZMV9	KIF6
Q12805	EFEMP1
Q9BWQ6	YIPF2
Q9GZM5	YIPF3
Q96HC4	PDLIM5
Q86YM7	HOMER1
Q92824	PCSK5
Q5T124	UBXN11
Q8WVY7	UBLCP1
P62191	PSMC1
O00423	EML1
Q15306	IRF4
P27987	ITPKB
Q8WTR7	ZNF473
P16083	NQO2
O14976	GAK
Q9Y2W7	KCNIP3
O15535	ZNF193
O95872	GPANK1
Q9Y3T9	NOC2L
Q8IUF8	MINA
Q9NVL1	FAM86C1
P48730	CSNK1D
Q9UHR5	SAP30BP
P20809	IL11
P49914	MTHFS
Q96IZ5	RBM41
Q9NVZ3	NECAP2
P01019	AGT
Q15027	ACAP1
Q9HCY8	S100A14
O15481	MAGEB4
Q9H4B4	PLK3
Q9UHJ3	SFMBT1
O60293	ZFC3H1
Q8WVF5	KCTD4
Q92551	IP6K1
P41226	UBA7
O15294	OGT
Q16206	ENOX2
Q5VWN6	FAM208B
Q8IUZ5	AGXT2L2
O15482	TEX28
O95125	ZNF202
Q9UJV3	MID2
Q9UNH6	SNX7
Q96AA8	JAKMIP2
P51606	RENBP
Q9C0F1	CEP44
Q9NPJ8	NXT2
P11234	RALB
P00352	ALDH1A1
P13807	GYS1
P29034	S100A2
Q8N488	RYBP
P36404	ARL2
P29218	IMPA1
O15217	GSTA4
Q13884	SNTB1
O88952	Not Found
Q03157	Not Found
P16989	CSDA
P0CG53	Not Found
P0C0U1	Not Found
P21796	VDAC1
Q8TAX7	MUC7
P02810	PRH1
P15515	HTN1
P30048	PRDX3
P02808	STATH
P15516	HTN3
Q9HBW0	LPAR2
P35831	Not Found
Q53ZZ1	Not Found
P41047	Not Found
P97814	Not Found
O55170	Not Found
Q9H6P5	TASP1
Q13746	Not Found
Q76LX8	ADAMTS13
O14545	TRAFD1
Q3UDK1	Not Found
Q9I9K6	Not Found
Q91908	Not Found
Q9QZW8	Not Found
O75348	ATP6V1G1
P11207	Not Found
O95292	VAPB
O12160	Not Found
O00165	HAX1
Q68DK7	MSL1
Q8N5Y2	MSL3
Q5U300	Not Found
O55043	Not Found
Q9UJU2	LEF1
Q846V4	Not Found
Q9H981	ACTR8
Q8NBZ0	INO80E
Q53TQ3	INO80D
P61092	Not Found
Q69ZI1	Not Found
Q71F54	Not Found
Q63HM2	PCNXL4
O60844	ZG16
P0C045	Not Found
P25311	AZGP1
O75352	MPDU1
P05156	CFI
P15907	ST6GAL1
P04004	VTN
P17787	CHRNB2
Q6UXH1	CRELD2
Q9NQS7	INCENP
P04233	CD74
P20036	HLA-DPA1
P14438	Not Found
P18469	Not Found
E9PZ36	Not Found
P08F94	PKHD1
Q9BZL4	PPP1R12C
Q9H2X3	CLEC4M
P11215	ITGAM
P42166	TMPO
P06465	Not Found
G3IDT6	Not Found
Q14512	FGFBP1
Q99469	STAC
P28327	Not Found
Q16555	DPYSL2
Q8IZV2	CMTM8
P09622	DLD
P54098	POLG
Q9UHN1	POLG2
Q9R1Y5	Not Found
P39060	COL18A1
P02763	ORM1
Q92569	PIK3R3
Q7KZ85	SUPT6H
P09769	FGR
Q8TEW6	DOK4
Q9NSE2	CISH
Q9P104	DOK5
O95704	APBB3
Q92870	APBB2
P42681	TXK
O15524	SOCS1
Q7Z7G1	CLNK
Q6PKX4	DOK6
Q96D37	Not Found
Q68CZ2	TNS3
O75553	DAB1
O75815	BCAR3
Q9H6Q3	SLA2
P52333	JAK3
Q13239	SLA
Q8WYP3	RIN2
Q9Y6R0	NUMBL
Q9UQQ2	SH2B3
Q92543	SNX19
P03347	Not Found
P61221	ABCE1
P06935	Not Found
Q86WG3	ATCAY
Q9UKV5	AMFR
Q7Z7E8	UBE2Q1
Q8TCJ0	FBXO25
Q9Y3I1	FBXO7
Q5YB85	Not Found
P08123	COL1A2
P49137	MAPKAPK2
B3KX85	Not Found
Q70J99	UNC13D
Q4LDX8	Not Found
P56581	Not Found
ensembl:ENSG00000082175	Not Found
P40933	IL15
Q13261	IL15RA
Q9EQG6	Not Found
Q01638	IL1RL1
Q80UP3	Not Found
O15232	MATN3
Q07120	Not Found
P05198	EIF2S1
P41091	EIF2S3
Q28690	Not Found
Q9Z2B5	Not Found
Q05922	Not Found
Q9Y6W6	DUSP10
P35611	ADD1
Q53HL2	CDCA8
P19419	ELK1
Q07174	Not Found
Q99MN1	Not Found
Q8VDN2	Not Found
O35157	Not Found
Q6PIE5	Not Found
P38532	Not Found
P17066	HSPA6
Q16602	CALCRL
P09803	Not Found
P27782	Not Found
Q13535	ATR
Q9ZFS5	Not Found
Q9HBA0	TRPV4
Q96LA8	PRMT6
P05063	Not Found
O88569	Not Found
Q13950	RUNX2
Q9ES64	Not Found
Q8WXG9	GPR98
Q6PPF3	Not Found
Q9UQ13	SHOC2
Q5F3W0	Not Found
Q9NT62	ATG3
Q13131	PRKAA1
Q9Y2K2	SIK3
P57059	SIK1
Q9H0K1	SIK2
O60285	NUAK1
Q9H093	NUAK2
Q60803	Not Found
P22366	Not Found
O88522	Not Found
Q9WUD1	Not Found
Q13404	UBE2V1
Q5VTR2	RNF20
P88961	Not Found
P41136	Not Found
O35245	Not Found
P15806	Not Found
P04985	Not Found
P16278	GLB1
Q16875	PFKFB3
P18090	Not Found
Q9NRA0	SPHK2
Q8CI15	Not Found
Q9JIA7	Not Found
Q9EQZ6	Not Found
O08815	Not Found
Q6V4L5	Not Found
Q6V4L9	Not Found
Q6V4K9	Not Found
O88351	Not Found
P35232	PHB
O14980	XPO1
Q91YI4	Not Found
P00772	Not Found
Q5S007	LRRK2
Q71DI3	HIST2H3A
P84040	Not Found
P02299	Not Found
Q93034	CUL5
O08838	Not Found
P13498	CYBA
Q9BUN5	CCDC28B
P50613	CDK7
P04003	C4BPA
P13050	Not Found
Q9ERU9	Not Found
Q9JK66	Not Found
D4A054	Not Found
Q9EPK5	Not Found
O08719	Not Found
ensembl:ENSG00000180228	Not Found
O70494	Not Found
Q92834	RPGR
Q9GLM3	Not Found
Q68CZ1	RPGRIP1L
P18545	PDE6G
Q9Y6K1	DNMT3A
"chebi:""CHEBI:17345"""	Not Found
Q14186	TFDP1
Q14393	GAS6
P30530	AXL
Q9RI12	Not Found
Q9DUM3	Not Found
Q6P2E9	EDC4
P26196	DDX6
P17967	Not Found
Q03103	Not Found
P00441	SOD1
P16014	Not Found
P26339	Not Found
Q62313	Not Found
Q96IZ0	PAWR
Q9D5L7	Not Found
Q8R5B6	Not Found
O88838	Not Found
Q7ZYE9	Not Found
Q59EM9	Not Found
Q90VU7	Not Found
Q13177	PAK2
Q8TEJ3	SH3RF3
Q7Z6J0	SH3RF1
Q5TCZ1	SH3PXD2A
Q9Y371	SH3GLB1
Q4AE16	Not Found
Q14901	Not Found
Q96A56	TP53INP1
Q8QVZ0	Not Found
Q9GZX7	AICDA
Q9R1C7	Not Found
O43196	MSH5
O15457	MSH4
O39474	Not Found
O15409	FOXP2
Q80UV9	Not Found
Q8AXF4	Not Found
Q61056	Not Found
Q9QX29	Not Found
P04234	CD3D
P60605	Not Found
Q9P2W1	PSMC3IP
Q13255	GRM1
Q8CGM1	Not Found
Q96IF1	AJUBA
Q9NRM7	LATS2
Q9UBB5	MBD2
P84051	Not Found
Q86YP4	GATAD2A
P02283	Not Found
Q7Y1C5	Not Found
Q7Y1C4	Not Found
Q39009	Not Found
P94102	Not Found
Q9XIR8	Not Found
Q9FL96	Not Found
Q9JHG6	Not Found
O75164	KDM4A
Q9BVI0	PHF20
Q9Y232	CDYL
Q9Y468	L3MBTL1
A8MW92	PHF20L1
Q13185	CBX3
P63034	Not Found
P62331	Not Found
P15920	Not Found
P62330	ARF6
P21283	ATP6V1C1
O75146	HIP1R
Q9BX69	CARD6
E9PWH2	Not Found
P51170	SCNN1G
P37088	SCNN1A
Q9UHD8	SEPT9
P09167	Not Found
O76080	ZFAND5
P12979	Not Found
P00515	Not Found
Q6XGM8	Not Found
